text,true_label,pred_label,confidence,safe_prob,toxic_prob
"""
What iTunes can do versus what the iPhone can do is a horrible comparison, as is calling iTunes the iPhones' big brother. Comparisons between the iPod and the iPhone are more accurate, and the iPod cannot do that either.  // talk //  // """,toxic,safe,0.9999933,0.9999933,6.688735e-06
"James Toe Mee
Sorry, I was concerned that someone might miss what was going on.  The user just copied the article Danny_O'Donoghue and replaced the name Danny O'Donoghue with James Toe Mee.  I hope this clears up my reasoning.",toxic,safe,0.9999933,0.9999933,6.6336584e-06
Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered You Bastered==Bastered,toxic,safe,0.9999933,0.9999933,6.6261787e-06
"""Oh, and one more thing, he developed his """"Art of Unix Programming"""" book in a Cathederal style and then released it under a non-OpenSource license.  (he used the most restrictive Creative Commons license (Attribution required, derivative works forbidden) plus some additional restrictions which he wrote himself.

But, I don't feel like spending too long adding criticisms to a wikipedia page, so I sketched down my ideas here in case someone else wants to build on them or whatever.

""",toxic,safe,0.9999932,0.9999932,6.7578144e-06
"2010 (UTC)

Seriously, fuck this guy's fucking face.  I am so fucking sick of fucking seeing it every fucking time I want to fucking read the fucking article about fucking boobs on the fucking internet. 160.39.54.179  02:10, 23 December",toxic,safe,0.9999932,0.9999932,6.816873e-06
"Linear B writing = Pelasgians language

If linear B writing is consider as first form of Greek language then we must assume that this language is originated from Pelasgian language. We must accept that Pelasgian language is a indo –european language and since the oldest recognized such language is Albanian the oldest greek language is originated from oldest Albanian language “The law formulated in 1892 by J. Wackernagel, according to which unstressed parts of the sentence tend to occupy a position after the first stressed word normally situated at the beginning of a sentence qualifies Albanian as the oldest living Indo European language.” Dodona",toxic,safe,0.9999932,0.9999932,6.843697e-06
""" Please stop. If you continue to vandalize Wikipedia, you will be blocked from editing.  A link to the edit I have reverted can be found here: link. If you believe this edit should not have been reverted, please contact me.   (talk)(email) """,toxic,safe,0.9999932,0.9999932,6.819305e-06
"""

Evidence of Meatpuppetry
 

After taking a look at your history and that of indef banned editor Moulton who has been recruiting and advising meatpuppets at WikipediaReview on editing the Picard article in his place, I see that your edit here  exactly matches word-for-word the edit he calls for someone there to make on his behalf:  Should you repeat the edits Moulton calls for at Rosalind Picard and James Tour Moulton's ban will be extended to cover you as well per Wikipedia:SOCK#Meatpuppets.   """,toxic,safe,0.99999297,0.99999297,6.9866664e-06
and is just part of their (Caspian blue) persistent Japanese-Korean psychosis''',toxic,safe,0.99999285,0.99999285,7.101286e-06
"""
Indeed - everyone can  verify with googletranslate that it does not suggest """"Soviet agents"""" for """"soviet civil servants"""" sentence (as argued upon). Nor page 232 cited. Similar effort  explained here  in details - I don't have time/intent to provide similar analysys. I guess why there no time to find  non existed at source text .Thanks  """,toxic,safe,0.99999285,0.99999285,7.0973865e-06
"This was the day I was born and year 
LOl",toxic,safe,0.9999927,0.9999927,7.276964e-06
"Message 

Why don't you come on up out of the basement and get some fresh air, dearie?",toxic,safe,0.9999927,0.9999927,7.2398198e-06
"""

Alpha was absorbed by Wilma as shown here:http://www.nasa.gov/mission_pages/hurricanes/archives/2005/h2005_alpha.html
The result was true. (talk✉) """,toxic,safe,0.9999927,0.9999927,7.289647e-06
Very well. I'm sorry to have bothered you with all of this. Others are looking at the images and will decide if they are okay. Happy editing and good luck with the election. ),toxic,safe,0.9999927,0.9999927,7.2896887e-06
""", but I strongly agree with Doktorbuk that it is better """"to make the project better than reopen all the endless discussion for just one word""""""",toxic,safe,0.9999926,0.9999926,7.3327224e-06
"None 

Ok um . . . Well . . . Ok, here's the thing. if your telling me that I'm a bad writer, then i understand, i could have written that better, after all, I'm an athuor-to-be, and I can't spell, but if your telling me I'm wrong than **** you! I live in Arkansas, qand I've gone to the magnet schools here so you a a lowly piece of ****ing **** if you think that I'm wrong!
      Understood?",toxic,safe,0.9999925,0.9999925,7.484966e-06
"Only a tip, you might want to think of starting a page like User_Talk:Barts1a/mentorship, which would be meant only for posts by mentor and mentored.",toxic,safe,0.9999925,0.9999925,7.560337e-06
You are a motherfucking bithc,toxic,safe,0.9999924,0.9999924,7.5832413e-06
"""

It might not have been your intent, but you recently removed content from Ann Coulter. Please be careful not to remove content from Wikipedia without a valid reason, which you should specify in the edit summary or on the article's talk page. Thank you.  A link to the edit I have reverted can be found here: link. If you believe this edit should not have been reverted, please contact me.  's talk """,toxic,safe,0.9999924,0.9999924,7.659661e-06
Okay maybe next week or after the Whaling pic goes on the main page.,toxic,safe,0.99999225,0.99999225,7.732659e-06
", 6 December 2014 (UTC) | decline = Definitely appears to be edit warring to me.  Breaking 3RR is not the only way to be blocked for edit warring.  See a third opinion on this article if you feel like that things are unconstructive between you and the other editor.  I definitely agree with Slakr's assessment and subsequent block.   16:52",toxic,safe,0.99999225,0.99999225,7.697665e-06
"""
Its tabloids eating up one measly report from someone not integrated in her life. Scarlett hasn't made any confirmation herself, so its currently a mere rumour.  """,toxic,safe,0.99999225,0.99999225,7.734584e-06
i DONT KNOW HOW THIS THING WORKS. BUT I'LL TELL YOU THIS. VERTIGO ACID. CALL ME FAMILY FLUFF. STOP THREATENING ME YOU TIGHT DRY LITTLE PUSSY. I OWN THIS FING CITY. AND I'LL OWN YOUR FING PUNK ASS IF YOU DONT STAY OUT OF MY BUSINESS. CAPICHE?,toxic,safe,0.99999225,0.99999225,7.752492e-06
